a
1,0,0,660,0
1,0,0,700,50
1,0,0,740,100
1,0,0,780,150
1,0,0,700,-50
1,0,0,740,-100
1,0,0,780,-150
1,0,3,960,100
1,0,3,960,-100
2,0,0,660,0
2,0,0,700,75
2,0,0,740,150
2,0,0,780,200
2,0,0,820,80
2,0,0,700,-75
2,0,0,740,-150
2,0,0,780,-200
2,0,0,820,-80
2,0,3,960,0
3,0,0,660,0
3,0,0,700,50
3,0,0,740,60
3,0,0,760,100
3,0,0,820,200
3,0,0,700,-50
3,0,0,740,-60
3,0,0,760,-100
3,0,0,820,-200
3,0,3,960,0
4,0,0,660,0
4,0,0,700,80
4,0,0,740,150
4,0,0,780,200
4,0,0,780,-200
4,0,0,740,-150
4,0,0,700,-80
4,0,3,960,100
4,0,3,960,-100
5,0,0,660,0
5,0,0,700,140
5,0,0,740,200
5,0,0,780,140
5,0,0,820,0
5,0,0,780,-140
5,0,0,740,-200
5,0,0,700,-140
5,0,3,960,0
5,0,1,1000,0
6,0,0,660,0
6,0,0,700,200
6,0,0,700,-200
6,0,0,740,0
6,0,0,780,200
6,0,0,780,-200
6,0,3,960,0
6,0,3,960,160
6,0,3,960,-160
6,0,2,640,-200
6,0,2,640,200
6,0,2,640,-120
6,0,2,640,120
6,0,2,640,0
7,0,0,660,0
7,0,0,700,150
7,0,0,740,200
7,0,0,780,150
7,0,0,780,-150
7,0,0,740,-200
7,0,0,700,-150
7,0,0,660,0
7,0,3,960,0
7,0,3,960,160
7,0,3,960,-160
7,0,2,640,-200
7,0,2,640,200
7,0,2,640,-120
7,0,2,640,120
7,0,2,640,0
8,0,0,740,200
8,0,0,820,160
8,0,0,880,80
8,0,0,900,0
8,0,0,880,-80
8,0,0,820,-160
8,0,0,740,-200
8,0,0,660,-160
8,0,0,600,-80
8,0,0,580,0
8,0,0,600,80
8,0,0,660,160
8,0,2,640,-200
8,0,2,640,200
8,0,2,640,0
9,0,0,740,200
9,0,0,820,120
9,0,0,880,0
9,0,0,820,-120
9,0,0,740,-200
9,0,0,660,-120
9,0,0,600,0
9,0,0,660,120
9,0,3,960,0
9,0,3,960,160
9,0,3,960,-160
9,0,2,640,-241.5
9,0,2,640,241.5
9,0,2,640,0
10,0,1,1000,0
10,0,0,820,0
10,0,0,860,120
10,0,0,860,-120
10,0,0,900,0
10,0,3,960,200
10,0,3,960,0
10,0,3,960,-200
10,0,2,640,-200
10,0,2,640,0
10,0,2,640,200
11,0,0,660,0
11,0,0,700,0
11,0,0,740,0
11,0,0,780,0
11,0,0,820,0
11,0,0,860,0
11,0,0,900,0
11,0,0,940,0
11,0,3,960,0
11,0,3,960,160
11,0,3,960,-160
11,0,2,640,-200
11,0,2,640,0
11,0,2,640,200
12,0,0,600,-120
12,0,0,880,-120
12,0,0,600,120
12,0,0,880,120
12,0,0,740,-120
12,0,0,740,120
12,0,0,600,0
12,0,0,880,0
12,0,3,960,0
12,0,3,960,160
12,0,3,960,-160
12,0,2,640,-200
12,0,2,640,0
12,0,2,640,200
13,0,0,740,-200
13,0,0,820,-120
13,0,0,940,-120
13,0,0,860,0
13,0,0,900,120
13,0,0,740,200
13,0,0,580,120
13,0,0,620,0
13,0,0,540,-120
13,0,0,660,-120
13,0,3,960,0
13,0,3,960,160
13,0,3,960,-160
13,0,2,640,-200
13,0,2,640,0
13,0,2,640,200
14,0,0,620,-80
14,0,0,660,-80
14,0,0,700,-80
14,0,0,740,-80
14,0,0,780,-80
14,0,0,620,-40
14,0,0,660,-40
14,0,0,700,-40
14,0,0,740,-40
14,0,0,780,-40
14,0,0,620,0
14,0,0,660,0
14,0,0,700,0
14,0,0,740,0
14,0,0,780,0
14,0,0,620,40
14,0,0,660,40
14,0,0,700,40
14,0,0,740,40
14,0,0,780,40
14,0,0,620,80
14,0,0,660,80
14,0,0,700,80
14,0,0,740,80
14,0,0,780,80
14,0,3,960,0
14,0,3,960,160
14,0,3,960,-160
14,0,2,640,-200
14,0,2,640,0
14,0,2,640,200
15,0,1,1000,0
15,0,0,820,0
15,0,0,860,120
15,0,0,860,-120
15,0,0,900,0
15,0,0,820,200
15,0,0,820,-200
15,0,2,640,-200
15,0,2,640,-100
15,0,2,640,0
15,0,2,640,100
15,0,2,640,200
15,0,3,960,200
15,0,3,960,100
15,0,3,960,0
15,0,3,960,-100
15,0,3,960,-200
